,clean_text,spam
0, Dumb,0
1, As u should ser,0
2," Congratulations, you just became exit liquidity",0
3," Been in the space for years, have never used the litecoin network is there anything on there?",0
4, Me to,0
5, Same ,0
6," Good choice Kaleo 

",0
7, Same ,0
8, I’ll ape in at $90,0
9," Let's get it 
$LTC ",0
10, Do not ruin it for us.-,0
11, Amazing! I just did aswell,0
13, same.,0
14, Piece of shït,0
16, This one  ,0
17," Nice move, bro! But have you heard about the ultimate alpha generator $RUMOR? Its like a crystal ball for crypto gains. Trust the  and hold on tight to those $LTC gains! #HODL #CryptoMagic ",0
18, LTC ,0
19," I've been buying spot daily since this
",0
20,  I’m laughing so much,0
21," Doomtoken is revolutionary. The world's first apocalyptic payout mechanism.

Featuring some core features:
 Increasing tokenomics
 Hard LP Burn
 Safe &amp; Transparent
 ALL LP Goes to holders

",1
22, great decision ,0
23, Way to man up! CHIKUN arisez ,0
24, Let’s go ,0
25, its over isnt it kaleo just say it ,0
26, You should also ape #Moeta sir. The capital of Burn. #Burnscreener,0
27, yes,0
28, samesies,0
29," Truly proud of the decision I made, it brings me happiness and desires have obtained creating a multiple sources of income. There aren't many who have strategy and better understanding of the current market. Follow  you trade daily with ease and make good profit",1
30, Whole timeline bearish at range lows on a payday for me,0
31,Ethere;um devs are making serious money with MEV and arb bots! Find the link on my TL - I retweeted it!)(,1
32, our exit liquidity,0
33, These lads need to be across all major discussions moving forward,0
34, These guys probably went on to start a B2B SaaS company,0
35, Dying ,0
36, underrated podcast,0
37," ""How do they even determine interest rates based on the number of people interested ?"" 

Damn we deserve a 100bps rate hike send us all to the streets",0
38, lmaoooo,0
39, lool chad and jt are hilarious,0
40, Maybe if we all say 2% next time they ask us for CPI in the survey they'll lower rates??,0
41," Yeah big gov didn’t ask me if I was interested so I shouldn’t be forced to comply under the same interest rates, since I’m not interested ",0
42, Me when I do cocaine,0
43, you're telling me that people sat through more than 15 seconds? after these mfs asked how they determine interest rates its peace out for me these clowns have no fucking idea what they doing lol,0
44, I refuse to believe thst guy is not high,0
45, Max longing here,0
46,   amp   recent breakout means that price is now entering the  26k 27k range it s unclear whether  btc needs to dip to solidify  25k as support before jumping to  30k more arguments for upside at this time  i made  48k so far thanks to  follow him  ,1
47, don t fade the game changer  leo   online casino launching tomorrow with massive hype  2 5m mcap atm ,1
48, follow   he remains the one of the best traders to learn how to earn automatically without your coins depreciating or liquidate  i just made 860  profits under his guidance  follow him ,1
49, i m here to show my appreciation to the woman  who took me out from nothing to something from  3000 account to over  24 000 richer within 7 trading days  thank you very much ,1
50, i recently started using  signals and crypto analysis and i have had my most profitable months ever    highly recommended,1
51, i made  30k from copying and pasting signals from mr  in a week  his trading signals and strategy are amazing ,1
52, 100  guaranteed profit  check out our channel  earn money 24 7    717c1766f5,1
53, it s crazy that this guy found mev bots before everyone else  check my tl for the link   i retweeted it ,1
54, it s crazy how much money people are making with this   trick,1
55, i gave listening ears to her mentorship  it haven t been easy with my investment of  3500 i received  35 400 in return  i don t want huge return i only wanted a trusted trader educator  i want to use this time to give due appreciation to ,1
56, where was the link to that defi  free money glitch people are using       ,1
57, i can never stop appreciating you for your good work you have done for my family i invested  1500 and i received a profit of  14 500 in the next 5 days of investment thanks to ,1
58, it s crazy how much money people are ma king with this stuff  posted,1
59,  has been stuck in a wildly tight price range for days   once we break the golden level  30 6k this will be a huge bullish signal  y all should follow  she knows her stuff when it comes to btc and other cryptos  her tweet have been really helpful over the years,1
60, miladypepe airdrop giveaway    don t miss out on your chance to grab free  milp tokens   1   follow  on twitter   2   rt  amp  like  3   join our tg community     amp  fill the google form for air drop        ,1
61, So uh long ,0
62, Why is nobody talking about this technique  ha s posted???? So easy to make money with this,1
63,Anybody got a link to that defi free money glitch? .,1
64,"The past week with MEV Bots has been fruitful, earning me a good chunk of ETH. If you're interested, I've retweeted a concise 7-minute tutorial on my Twitte^r..:",1
65, Send it,0
66, Bull ,0
67, King ,0
68, I do hope so! NGL....I did kinda expect more after all these years of waiting ,0
69," This is the greatest surprise all my life to wake up and receive $16,000 out of $1000 investment after so many tries I finally found a Legit platform for investment. All thanks to Mrs  for making this possible. ",1
70," The knowledge and support are tremendous, I couldn't have done it without your expert service. If you are looking to get into #forex #bitcion #stocks this is the right place to be! If you aren't following  you should be.",1
71, Looks exhausted,0
72, $10 XRP - this season sire?,0
73, Booooollliìiissshhhhhh,0
74, Amen,0
75, WAGMI,0
76, Inshallah ,0
77, who cares about money when bomb are about do drop everywere?,0
78, from HSBAF to this ... idk man ... top signs,0
79," Bro, its like you read my mind! With the power of #Kaizen and the crypto wave behind us, were gonna ride those green candles to the moon  #KaizenPower ",1
80, hfsbaf,0
81," everything will go up and you will make it

everything will go up and you will make it

everything will go up and you will make it

everything will go up and you will make it

everything will go up and you will make it",0
82," EVERYTHING WILL GO UP!!

I  swear crypto only ever goes up when ive got no liquidity, only thing im making is my bed in the morning",0
83, That is if you have anything ,0
84, Shill me 3 coins to buy,0
85, My brother pls break $32k,0
86, Down first please?,0
87," if I don't get greedy on lev, ye",0
88, send pepe right now,0
89, In debt and no exposure cause I’m broke. I will never forgive Sam for this ,0
90, Yeeees Roookie!!!,0
91, I won't make it,0
92, I'm gonna make it,0
93, Bro spam some alts bro what to long ,0
94, I say amen to that ,0
95, I wish man down too much,0
96, Blocked because I said his valuation was off by 3 Zeros   ,0
97, Legends,0
98, LMEOW,0
99, self sabotage,0
100, Rollbit business model,0
101, He's like me,0
102," I also follow  for signals analysis and account management. In the past three months, I've achieved a 93% win rate by copying his signals!",1
103, At least this clown is staying true to his M.O. :D,0
104, He should be getting Mr. Potatoe Head royalties,0
105, He’s Been around forever I remember almost buying into his shit ico in 2017 dude seriously sucks.,0
106," Haha Barney did the same thing as well. 

I wonder how many 1000x leverage and don’t get instantly liquidated. It has to be like 99.999%",0
107, Glad this stupid fuck already blocked me,0
108, insane degenaracy,0
109, No way,0
110, Mega liquidation event,0
111," How much did they pay you to mention rollbit?
/s",0
112, Is this the guy on twitter spaces with the mario guy?,0
113, BUSTED ,0
114," startup idea, we collect funds to do some 1000x gambafi",0
115," I actually believe that 1000x leverage is still pretty conservative.

It's like playing on easy mode.",0
116, There is probably one guy who 1000x longed xrp within the first minute and got liquidated on a 0.1% move in the wrong direction that lasted a second,0
117, I thought it was Bitcoin cash,0
118," I owe a big thank you to  for their expertise in online trading. Their guidance and insights have helped me generate significant profits, and I am grateful for their contribution to my financial success.",1
119, They are once again ahead of the curve,0
120, bro beta tested the 2000x lev feature on rollbit &amp; donated to the market,0
121, The fastest gun in the West! ,0
122, No wonder he’s got such an apocalyptic worldview lol,0
123, must have been the CIA,0
124," Everyone wants to achieve greater highest, what mind set will help you get there? Crypto is the greatest opportunity to achieve your goals. Get yourself a manager has ambitious goals towards his client, you are magnificent when it comes to trading strategy ",1
125, he knows ,0
126, Not looking good for longs. Next rejection at 31300 should usher in the meltdown. $btc has probably seen yearly high.,0
127," Truly proud of the decision I made, it brings me happiness and desires have obtained creating a multiple sources of income. There aren't many who have strategy and better understanding of the current market. Follow  you trade daily with ease and make good profit",1
128, Are we back? ,0
129, Want some range moves here to get Alts move hehe,0
130, Gib 28k,0
131, Dips are for what again? I can’t recall,0
132, Thoughts on $XRP? Retrace to 50s?,0
133," Clumsy is longing
It will fall",0
134, Agreed. I listen to you and  for analysis,1
135, Wow. Crypto is such a scam,0
136, So true,0
137,"  One of the hallmarks of being a smart trader is knowing how to take profits, regardless of whether it's a bull or bear market. It's great that  has helped change my mindset and earn impressive returns of 10%-100%+ daily without experiencing losses",1
138,"  Spaces have opened up in my group again! Get in while you can before the server is closed! 

LINK",1
139, yes ser,0
140," #ADAYOFFISADAYLOST 

WE ALWAYS ON THE GRIND",0
141, Amen Kapo A fucking men,0
142, Showing up everyday can i get a follow bro?,0
143," Just grabbed a bag here let's see

",0
144, Yea I stayed out it’s too much take yo gainz,0
145, It's crazy how much money people aree making with t-his  trick,1
146, Stop loss hit bro,0
147, Coming for it,0
148," Dunno man, looks pretty bearish",0
149," I'm really grateful for all efforts you have render to me with my little investment of $1000, and with joy all over me after withdrawing $10,000 with your help ",1
150," $AFFI is a revolutionary digital advertising project that leverages Web3 technologies to address the existing challenges in the advertising industry  

 official : 

Network : Arbitrum

Contract: 0xdd839b26B9d5c10b8744832192EF9971300Ee4BA",1
151, I took many L on shorting $OP but i don’t give a fuck i keep on shorting it till i get the ONE and the OnLY,0
152, Lol,0
153, LmAo don’t long 15 but long 32 lfgggg,0
154," One of the hallmarks of being a smart trader is knowing how to take profits, regardless of whether it's a bull or bear market. It's great that  has helped change my mindset and earn impressive returns of 10%-100%+ daily without experiencing losses",1
155, Can you elaborate?,0
156, Have you seen $evil some interesting things going on with the market pumping as it is I can see this touching 50 million 70x from its current market cap ,0
157, We take all the stops below 31k first or the market is wrong,0
158, What price you have entered?,0
159, btc ?,0
160, the amount of sheer euphoria is scaring me bro,0
161," The future of crypto earnings is here - learn from this web3 developer's MEV strategy and start earning over 5 ETH per week.
",1
162, Ummm... Maybe you sho-uld cover the biggest story in DeFi??? People are making crazy money with this method  has posted,1
163, Could someone link me to ;that defi money making method people have been using??????,1
164, Mancium rockets ! #mancium #success ,0
165, Finally revived from the dead. Gz to all the winners.,0
166, IFB ASAP ,0
167," Trading had been easy and smooth with  who is an outstanding resource for aspiring traders, ideally suited for both complete beginners and those who ars already up and running with their trading but need or want to improve it.",1
168," With the help of MRS  I've been able to trade online and I know all about crypto currency exchange, I've been able to Save more than $44,500 in 7days of trading with her platform, I found it to believe until when I saw my profits been received into my bank account",1
169, GN boss don't forget to celebrate  me Allah bless your today's and tomorrow's profit,0
170, Glad to hear you had an awesome day! Jokes can really bring us joy and lightheartedness.,0
171, Thanks sir,0
172, Good Night Boss And Sweet dreams,0
173," be glad it is. Otherwise you could not benefit from it. Don't forget, it's a transfer only business.",0
174, They will like it even more at $69k,0
175, The only reason peeps didn't want it at 16 is they thought it would go lower. The only reason peeps want it now is they are worried it will go higher without them. Greed doesnt change.,0
176," Biggg newsss abouttt cryptocurrencies.

    DLFG!",1
177," Youu cann g­ettt  X­RPP fr­omm Bra­dd Gar­lin­ghousee rig­htt now!

   RPLFG",1
178, dont you think the fundamentals have changed with blackrock etf?,0
179," Haha this is literally how 99% of them think. ""hmmm I'll wait a bit til it gets lower"" then sit back in disbelief ",0
180, i think you answered your own q,0
181," BREAKING!!

    DLFG!",1
182," Wee a­re cond­ucti­ngg aa dif­ficu­lt tr­ia­l, everythi­ngg iss wor­kin­g out f­orr us!!     DLFG!",1
183, Been buying since last October. I want more sub $30k. Fingers crossed we get a recession and possible sub $20k again.,0
184, The highest demand comes when it passes 100K,0
185," When it's trending down, most people are already in it and have no dry powder left to buy more, the all went in on the way down. It went from $69K to $15K. Obv people bought more at $40K because ""thats the bottom"". Thats how this works and u know it. No new ppl come in.",0
186, it's how nature works so don't even bother,0
187, Emotional damage i only say,0
188, Its still a lot less than 50K …. ,0
189," People are emotional. This is just them allowing their financial decisions to be ruled by those emotions. Could be greed, fear, panic, etc. I was a terrible trader when I started buying tops all the fucking time. When I started focusing on charts exclusively that all changed.",0
190, Bc people assume high price=value. Price increasing also validates the need to feel right.,0
191, I didn’t have capital available to deploy until 25K. Bought aggressively between 25/26K.  Not selling or buying here. Right move  ??,0
192, Same as always. Because at 16k everyone was calling for 10k. Just like in 2018 at 3k everyone was calling for 1k. Luckily I’m good at counter trading the herd.,0
193," This my first cycle and I bought too lil at 16k and more on the way up , I guess a lot of us are just new to this , never thought it was a scam , maybe that it could go way lower tho",0
194, Do you wanna maybe calm the fuck down tweeting every 2 minutes ?,0
195, Exclusively sentiment trading crypto is one of the easier trades to make.,0
196, I WILL KEEP BUYING THE DIP!,0
197, I Agreed,0
198, Damn 28.8 &gt; 26 &gt; 20 ,0
199, I love your content brother lol ,0
200, You’re an asshole dude Jesus,0
201, It's crazy how m_uch money people are making with this  method. She's the best!,1
202, big crypto accounts starting to look for bear  hmmm wonder where that goes  ,0
203, first 28 2k then 29k then 32k this is the roadmap for btc ,0
204, this looks like a beautiful bob ross painting,0
205, his do you get a chart that shows you the read and green areas ,0
206, forget price action for 2 mins  this chart in itself is pretty aesthetic   ,0
207, nature is healing  ,0
208, but what about when there was a correction to 20 k last month  that was not a significant change ,0
209, thanks man,0
210, what indicators are these mate ,0
211,lots of comments about  still an uptrend     sure  so get above 28 7k again and i ll get back involved on the long side    pretty easy when there s a key level in here ,0
212,N/A,0
213, got more down to go   probably at least 25k area  maybe down to 24 23 ,0
